latitude,longitude,value
37.713,-122.419,7
37.713,-122.388,12
37.713,-122.442,2
37.713,-122.407,2
37.713,-122.466,4
37.713,-122.408,6
37.713,-122.402,1
37.713,-122.398,13
37.713,-122.432,2
37.713,-122.43,1
37.713,-122.448,3
37.713,-122.451,2
37.713,-122.446,13
37.713,-122.403,2
37.713,-122.438,10
37.713,-122.463,5
37.713,-122.433,2
37.713,-122.47,2
37.713,-122.471,14
37.713,-122.436,3
37.713,-122.397,2
37.713,-122.435,2
37.713,-122.437,3
37.713,-122.456,6
37.713,-122.41,5
37.713,-122.399,6
37.713,-122.445,4
37.713,-122.459,5
37.713,-122.409,4
37.713,-122.406,2
37.713,-122.447,5
37.713,-122.441,2
37.713,-122.44,4
37.713,-122.469,9
37.713,-122.42,1
37.713,-122.45,2
37.713,-122.4,8
37.713,-122.467,1
37.713,-122.462,8
37.713,-122.444,7
37.713,-122.461,9
37.713,-122.46,9
37.713,-122.458,6
37.713,-122.457,7
37.713,-122.455,8
37.713,-122.421,5
37.713,-122.454,8
37.713,-122.449,8
37.713,-122.474,3
37.713,-122.415,1
37.713,-122.405,1
37.713,-122.468,1
37.713,-122.464,1
37.713,-122.453,1
37.714,-122.469,14
37.714,-122.4,24
37.714,-122.435,6
37.714,-122.388,7
37.714,-122.437,8
37.714,-122.445,5
37.714,-122.406,5
37.714,-122.444,2
37.714,-122.408,3
37.714,-122.399,12
37.714,-122.462,4
37.714,-122.422,4
37.714,-122.453,1
37.714,-122.466,7
37.714,-122.423,3
37.714,-122.398,5
37.714,-122.44,11
37.714,-122.442,4
37.714,-122.471,3
37.714,-122.439,11
37.714,-122.464,7
37.714,-122.436,7
37.714,-122.412,1
37.714,-122.463,12
37.714,-122.472,1
37.714,-122.449,13
37.714,-122.441,1
37.714,-122.443,10
37.714,-122.468,8
37.714,-122.461,8
37.714,-122.448,16
37.714,-122.459,3
37.714,-122.485,2
37.714,-122.475,2
37.714,-122.446,3
37.714,-122.46,2
37.714,-122.447,11
37.714,-122.404,9
37.714,-122.433,1
37.714,-122.454,1
37.714,-122.411,1
37.714,-122.467,8
37.714,-122.438,4
37.714,-122.465,8
37.714,-122.476,6
37.714,-122.479,1
37.714,-122.478,1
37.714,-122.477,2
37.714,-122.452,3
37.714,-122.473,1
37.715,-122.399,4
37.715,-122.447,17
37.715,-122.439,7
37.715,-122.449,5
37.715,-122.446,10
37.715,-122.478,2
37.715,-122.472,29
37.715,-122.438,7
37.715,-122.479,2
37.715,-122.448,15
37.715,-122.48,2
37.715,-122.443,1
37.715,-122.464,4
37.715,-122.477,5
37.715,-122.467,3
37.715,-122.403,5
37.715,-122.404,8
37.715,-122.47,8
37.715,-122.437,9
37.715,-122.481,2
37.715,-122.476,4
37.715,-122.388,1
37.715,-122.44,3
37.715,-122.471,2
37.715,-122.468,2
37.715,-122.435,6
37.715,-122.459,8
37.715,-122.483,5
37.715,-122.409,2
37.715,-122.484,3
37.715,-122.442,15
37.715,-122.485,1
37.715,-122.389,11
37.715,-122.412,2
37.715,-122.452,5
37.715,-122.451,5
37.715,-122.402,4
37.715,-122.461,6
37.715,-122.462,5
37.715,-122.413,2
37.715,-122.46,11
37.715,-122.441,2
37.715,-122.445,6
37.715,-122.405,1
37.715,-122.408,2
37.715,-122.454,6
37.715,-122.465,2
37.715,-122.469,4
37.715,-122.411,1
37.715,-122.455,3
37.715,-122.456,3
37.715,-122.453,7
37.715,-122.434,2
37.715,-122.463,6
37.715,-122.444,2
37.715,-122.401,1
37.715,-122.436,5
37.715,-122.466,3
37.715,-122.406,5
37.715,-122.407,1
37.716,-122.439,2
37.716,-122.471,6
37.716,-122.448,3
37.716,-122.445,14
37.716,-122.447,9
37.716,-122.436,9
37.716,-122.406,2
37.716,-122.472,7
37.716,-122.468,5
37.716,-122.442,5
37.716,-122.405,2
37.716,-122.451,7
37.716,-122.443,6
37.716,-122.403,3
37.716,-122.444,11
37.716,-122.467,3
37.716,-122.469,4
37.716,-122.433,5
37.716,-122.438,5
37.716,-122.446,3
37.716,-122.456,14
37.716,-122.412,1
37.716,-122.449,1
37.716,-122.44,7
37.716,-122.41,2
37.716,-122.46,2
37.716,-122.408,6
37.716,-122.437,7
37.716,-122.478,6
37.716,-122.455,8
37.716,-122.454,11
37.716,-122.441,6
37.716,-122.389,1
37.716,-122.4,1
37.716,-122.435,12
37.716,-122.466,2
37.716,-122.452,4
37.716,-122.453,1
37.716,-122.48,2
37.716,-122.434,9
37.716,-122.475,1
37.716,-122.477,3
37.716,-122.47,1
37.716,-122.459,1
37.716,-122.428,5
37.716,-122.464,7
37.716,-122.407,2
37.716,-122.463,6
37.716,-122.411,1
37.716,-122.402,1
37.716,-122.479,4
37.716,-122.476,1
37.716,-122.401,1
37.716,-122.43,3
37.716,-122.45,1
37.717,-122.465,7
37.717,-122.438,5
37.717,-122.444,12
37.717,-122.476,5
37.717,-122.462,7
37.717,-122.433,15
37.717,-122.408,3
37.717,-122.459,3
37.717,-122.461,1
37.717,-122.429,2
37.717,-122.456,6
37.717,-122.454,1
37.717,-122.452,12
37.717,-122.45,6
37.717,-122.481,3
37.717,-122.401,1
37.717,-122.436,5
37.717,-122.428,6
37.717,-122.435,9
37.717,-122.455,3
37.717,-122.404,5
37.717,-122.458,2
37.717,-122.446,8
37.717,-122.434,7
37.717,-122.448,4
37.717,-122.48,7
37.717,-122.391,18
37.717,-122.471,2
37.717,-122.445,3
37.717,-122.427,5
37.717,-122.406,1
37.717,-122.464,4
37.717,-122.407,4
37.717,-122.441,6
37.717,-122.469,1
37.717,-122.479,2
37.717,-122.468,3
37.717,-122.432,8
37.717,-122.402,2
37.717,-122.482,1
37.717,-122.409,5
37.717,-122.437,5
37.717,-122.47,3
37.717,-122.463,3
37.717,-122.4,2
37.717,-122.447,6
37.717,-122.439,6
37.717,-122.443,10
37.717,-122.405,5
37.717,-122.403,1
37.717,-122.473,53
37.717,-122.44,5
37.717,-122.43,1
37.717,-122.478,6
37.717,-122.396,1
37.717,-122.485,2
37.717,-122.397,6
37.717,-122.386,2
37.717,-122.442,1
37.717,-122.39,2
37.717,-122.387,2
37.717,-122.431,1
37.717,-122.477,1
37.718,-122.462,6
37.718,-122.46,3
37.718,-122.459,10
37.718,-122.435,9
37.718,-122.429,7
37.718,-122.446,3
37.718,-122.447,7
37.718,-122.465,22
37.718,-122.44,10
37.718,-122.433,7
37.718,-122.45,10
37.718,-122.408,5
37.718,-122.457,10
37.718,-122.456,5
37.718,-122.437,3
37.718,-122.434,9
37.718,-122.438,6
37.718,-122.443,2
37.718,-122.406,1
37.718,-122.402,1
37.718,-122.436,6
37.718,-122.445,6
37.718,-122.432,7
37.718,-122.482,1
37.718,-122.428,2
37.718,-122.392,8
37.718,-122.43,4
37.718,-122.47,6
37.718,-122.483,2
37.718,-122.405,3
37.718,-122.469,14
37.718,-122.453,2
37.718,-122.452,4
37.718,-122.386,1
37.718,-122.397,9
37.718,-122.407,9
37.718,-122.473,6
37.718,-122.475,5
37.718,-122.396,5
37.718,-122.431,4
37.718,-122.468,11
37.718,-122.467,6
37.718,-122.485,2
37.718,-122.442,19
37.718,-122.464,6
37.718,-122.404,5
37.718,-122.444,6
37.718,-122.463,6
37.718,-122.403,4
37.718,-122.439,5
37.718,-122.466,3
37.718,-122.451,3
37.718,-122.454,6
37.718,-122.449,2
37.718,-122.472,9
37.718,-122.448,1
37.718,-122.476,1
37.718,-122.4,2
37.718,-122.391,1
37.718,-122.461,8
37.718,-122.455,4
37.718,-122.484,2
37.718,-122.393,2
37.718,-122.458,3
37.718,-122.395,2
37.718,-122.398,4
37.718,-122.441,5
37.718,-122.388,1
37.718,-122.471,1
37.718,-122.389,1
37.718,-122.474,1
37.719,-122.404,5
37.719,-122.461,7
37.719,-122.407,1
37.719,-122.398,6
37.719,-122.459,8
37.719,-122.458,12
37.719,-122.429,5
37.719,-122.438,7
37.719,-122.475,2
37.719,-122.432,9
37.719,-122.483,2
37.719,-122.45,10
37.719,-122.47,4
37.719,-122.397,9
37.719,-122.434,11
37.719,-122.474,11
37.719,-122.484,2
37.719,-122.485,3
37.719,-122.462,7
37.719,-122.449,4
37.719,-122.392,3
37.719,-122.394,13
37.719,-122.463,6
37.719,-122.442,4
37.719,-122.427,9
37.719,-122.457,4
37.719,-122.446,7
37.719,-122.441,14
37.719,-122.452,14
37.719,-122.393,16
37.719,-122.403,2
37.719,-122.406,2
37.719,-122.444,1
37.719,-122.435,7
37.719,-122.478,2
37.719,-122.401,5
37.719,-122.466,5
37.719,-122.454,10
37.719,-122.436,10
37.719,-122.448,1
37.719,-122.396,4
37.719,-122.431,4
37.719,-122.46,8
37.719,-122.471,1
37.719,-122.433,3
37.719,-122.439,8
37.719,-122.437,2
37.719,-122.465,6
37.719,-122.4,2
37.719,-122.428,13
37.719,-122.456,2
37.719,-122.468,1
37.719,-122.389,2
37.719,-122.472,5
37.719,-122.391,3
37.719,-122.41,17
37.719,-122.443,1
37.719,-122.411,8
37.719,-122.477,2
37.719,-122.48,2
37.719,-122.395,2
37.719,-122.39,4
37.719,-122.481,1
37.719,-122.482,1
37.719,-122.405,4
37.719,-122.473,5
37.719,-122.469,1
37.719,-122.409,6
37.719,-122.455,2
37.719,-122.43,2
37.719,-122.44,4
37.719,-122.451,2
37.719,-122.479,1
37.719,-122.445,1
37.719,-122.467,1
37.719,-122.408,2
37.72,-122.469,6
37.72,-122.43,8
37.72,-122.404,1
37.72,-122.471,5
37.72,-122.472,8
37.72,-122.409,8
37.72,-122.465,12
37.72,-122.468,2
37.72,-122.46,7
37.72,-122.429,33
37.72,-122.432,14
37.72,-122.478,8
37.72,-122.44,19
37.72,-122.431,5
37.72,-122.395,6
37.72,-122.401,5
37.72,-122.446,10
37.72,-122.455,2
37.72,-122.394,4
37.72,-122.396,10
37.72,-122.434,14
37.72,-122.437,5
37.72,-122.392,14
37.72,-122.436,2
37.72,-122.466,4
37.72,-122.458,6
37.72,-122.439,5
37.72,-122.459,7
37.72,-122.386,1
37.72,-122.473,32
37.72,-122.408,12
37.72,-122.476,2
37.72,-122.454,6
37.72,-122.435,4
37.72,-122.445,7
37.72,-122.397,12
37.72,-122.456,10
37.72,-122.443,4
37.72,-122.407,8
37.72,-122.428,12
37.72,-122.387,1
37.72,-122.463,1
37.72,-122.475,10
37.72,-122.467,3
37.72,-122.462,7
37.72,-122.479,1
37.72,-122.464,8
37.72,-122.451,2
37.72,-122.47,3
37.72,-122.442,14
37.72,-122.449,1
37.72,-122.393,1
37.72,-122.48,1
37.72,-122.433,5
37.72,-122.452,8
37.72,-122.485,1
37.72,-122.406,9
37.72,-122.402,4
37.72,-122.411,6
37.72,-122.441,5
37.72,-122.481,1
37.72,-122.427,1
37.72,-122.39,3
37.72,-122.461,2
37.72,-122.391,1
37.72,-122.426,4
37.72,-122.457,1
37.72,-122.444,1
37.72,-122.389,1
37.72,-122.438,6
37.72,-122.453,2
37.72,-122.405,3
37.72,-122.41,1
37.721,-122.472,13
37.721,-122.431,19
37.721,-122.439,17
37.721,-122.465,2
37.721,-122.435,7
37.721,-122.405,7
37.721,-122.455,3
37.721,-122.446,9
37.721,-122.467,10
37.721,-122.438,11
37.721,-122.454,2
37.721,-122.46,8
37.721,-122.392,8
37.721,-122.396,16
37.721,-122.473,30
37.721,-122.429,2
37.721,-122.457,3
37.721,-122.397,2
37.721,-122.468,8
37.721,-122.462,4
37.721,-122.475,5
37.721,-122.461,5
37.721,-122.434,4
37.721,-122.393,1
37.721,-122.401,8
37.721,-122.458,9
37.721,-122.464,6
37.721,-122.437,5
37.721,-122.404,14
37.721,-122.427,10
37.721,-122.41,1
37.721,-122.451,1
37.721,-122.43,2
37.721,-122.433,12
37.721,-122.426,2
37.721,-122.394,1
37.721,-122.436,6
37.721,-122.441,3
37.721,-122.391,8
37.721,-122.402,16
37.721,-122.47,1
37.721,-122.398,6
37.721,-122.403,10
37.721,-122.466,2
37.721,-122.456,2
37.721,-122.432,14
37.721,-122.409,11
37.721,-122.44,4
37.721,-122.463,2
37.721,-122.474,4
37.721,-122.428,3
37.721,-122.445,3
37.721,-122.452,1
37.721,-122.412,3
37.721,-122.449,1
37.721,-122.408,1
37.721,-122.459,3
37.721,-122.471,1
37.721,-122.4,1
37.721,-122.425,1
37.721,-122.399,1
37.722,-122.461,7
37.722,-122.457,13
37.722,-122.459,8
37.722,-122.402,7
37.722,-122.468,2
37.722,-122.4,11
37.722,-122.44,5
37.722,-122.401,14
37.722,-122.47,1
37.722,-122.429,7
37.722,-122.431,6
37.722,-122.467,1
37.722,-122.442,6
37.722,-122.469,1
37.722,-122.454,4
37.722,-122.456,6
37.722,-122.462,1
37.722,-122.412,2
37.722,-122.434,10
37.722,-122.449,3
37.722,-122.472,5
37.722,-122.435,5
37.722,-122.399,5
37.722,-122.446,2
37.722,-122.46,12
37.722,-122.455,4
37.722,-122.433,12
37.722,-122.437,14
37.722,-122.45,2
37.722,-122.43,2
37.722,-122.443,4
37.722,-122.389,3
37.722,-122.475,6
37.722,-122.452,6
37.722,-122.398,3
37.722,-122.428,5
37.722,-122.391,2
37.722,-122.39,8
37.722,-122.438,11
37.722,-122.458,8
37.722,-122.439,7
37.722,-122.396,6
37.722,-122.426,2
37.722,-122.473,6
37.722,-122.409,3
37.722,-122.405,5
37.722,-122.411,2
37.722,-122.392,1
37.722,-122.403,1
37.722,-122.436,3
37.722,-122.444,8
37.722,-122.41,2
37.722,-122.394,2
37.722,-122.427,3
37.722,-122.425,5
37.722,-122.432,2
37.722,-122.451,1
37.722,-122.441,1
37.723,-122.45,5
37.723,-122.472,26
37.723,-122.408,7
37.723,-122.435,13
37.723,-122.4,9
37.723,-122.428,8
37.723,-122.438,10
37.723,-122.441,7
37.723,-122.398,8
37.723,-122.409,1
37.723,-122.453,2
37.723,-122.444,5
37.723,-122.405,4
37.723,-122.39,2
37.723,-122.413,3
37.723,-122.473,6
37.723,-122.436,10
37.723,-122.426,6
37.723,-122.402,12
37.723,-122.396,6
37.723,-122.433,2
37.723,-122.395,17
37.723,-122.412,9
37.723,-122.454,5
37.723,-122.401,13
37.723,-122.458,2
37.723,-122.461,2
37.723,-122.404,3
37.723,-122.437,4
37.723,-122.475,5
37.723,-122.394,2
37.723,-122.434,4
37.723,-122.411,5
37.723,-122.43,3
37.723,-122.429,4
37.723,-122.452,2
37.723,-122.457,2
37.723,-122.44,6
37.723,-122.47,1
37.723,-122.451,4
37.723,-122.442,12
37.723,-122.449,4
37.723,-122.446,3
37.723,-122.466,1
37.723,-122.407,5
37.723,-122.439,2
37.723,-122.427,5
37.723,-122.391,1
37.723,-122.416,6
37.723,-122.431,4
37.723,-122.389,6
37.723,-122.445,1
37.723,-122.425,3
37.723,-122.406,4
37.723,-122.432,2
37.723,-122.418,2
37.723,-122.417,4
37.723,-122.443,5
37.723,-122.455,5
37.723,-122.46,5
37.723,-122.456,1
37.724,-122.459,25
37.724,-122.405,2
37.724,-122.401,1
37.724,-122.46,8
37.724,-122.408,3
37.724,-122.432,9
37.724,-122.402,7
37.724,-122.417,4
37.724,-122.474,1
37.724,-122.439,4
37.724,-122.441,5
37.724,-122.44,9
37.724,-122.443,3
37.724,-122.429,7
37.724,-122.436,5
37.724,-122.455,8
37.724,-122.472,28
37.724,-122.427,12
37.724,-122.395,10
37.724,-122.444,10
37.724,-122.438,3
37.724,-122.454,8
37.724,-122.475,6
37.724,-122.442,11
37.724,-122.431,4
37.724,-122.416,5
37.724,-122.404,8
37.724,-122.435,8
37.724,-122.389,6
37.724,-122.456,5
37.724,-122.437,11
37.724,-122.406,10
37.724,-122.461,3
37.724,-122.434,2
37.724,-122.428,7
37.724,-122.457,12
37.724,-122.415,5
37.724,-122.462,4
37.724,-122.39,2
37.724,-122.43,2
37.724,-122.418,7
37.724,-122.424,4
37.724,-122.407,3
37.724,-122.458,9
37.724,-122.426,4
37.724,-122.392,2
37.724,-122.391,4
37.724,-122.423,1
37.724,-122.425,1
37.724,-122.413,2
37.724,-122.388,5
37.724,-122.468,2
37.724,-122.42,2
37.724,-122.414,2
37.724,-122.403,1
37.725,-122.459,5
37.725,-122.46,13
37.725,-122.432,1
37.725,-122.43,14
37.725,-122.415,5
37.725,-122.44,12
37.725,-122.423,5
37.725,-122.424,8
37.725,-122.472,29
37.725,-122.402,9
37.725,-122.443,10
37.725,-122.413,2
37.725,-122.429,5
37.725,-122.456,4
37.725,-122.426,8
37.725,-122.461,8
37.725,-122.431,10
37.725,-122.388,7
37.725,-122.422,9
37.725,-122.437,13
37.725,-122.458,7
37.725,-122.427,6
37.725,-122.391,3
37.725,-122.434,5
37.725,-122.395,10
37.725,-122.401,3
37.725,-122.42,4
37.725,-122.441,6
37.725,-122.439,8
37.725,-122.475,4
37.725,-122.419,2
37.725,-122.389,5
37.725,-122.473,1
37.725,-122.39,5
37.725,-122.404,4
37.725,-122.435,5
37.725,-122.392,1
37.725,-122.438,14
37.725,-122.403,9
37.725,-122.457,10
37.725,-122.414,4
37.725,-122.471,3
37.725,-122.394,11
37.725,-122.462,8
37.725,-122.436,2
37.725,-122.442,9
37.725,-122.428,4
37.725,-122.503,7
37.725,-122.433,2
37.725,-122.405,1
37.725,-122.407,4
37.725,-122.466,2
37.725,-122.409,5
37.725,-122.408,3
37.725,-122.463,5
37.725,-122.454,1
37.725,-122.406,2
37.725,-122.393,1
37.725,-122.504,1
37.725,-122.382,1
37.726,-122.39,10
37.726,-122.463,12
37.726,-122.438,6
37.726,-122.395,9
37.726,-122.442,10
37.726,-122.427,5
37.726,-122.44,6
37.726,-122.407,7
37.726,-122.394,12
37.726,-122.422,4
37.726,-122.443,4
37.726,-122.472,32
37.726,-122.429,5
37.726,-122.475,6
37.726,-122.409,7
37.726,-122.458,6
37.726,-122.379,6
37.726,-122.403,12
37.726,-122.456,3
37.726,-122.434,12
37.726,-122.437,9
37.726,-122.401,2
37.726,-122.382,1
37.726,-122.43,9
37.726,-122.414,14
37.726,-122.406,3
37.726,-122.432,15
37.726,-122.457,8
37.726,-122.441,5
37.726,-122.428,11
37.726,-122.421,12
37.726,-122.391,10
37.726,-122.426,5
37.726,-122.46,5
37.726,-122.464,15
37.726,-122.408,11
37.726,-122.439,3
37.726,-122.384,4
37.726,-122.504,1
37.726,-122.423,6
37.726,-122.424,12
37.726,-122.433,5
37.726,-122.469,1
37.726,-122.415,1
37.726,-122.425,15
37.726,-122.381,9
37.726,-122.42,10
37.726,-122.436,9
37.726,-122.38,4
37.726,-122.459,2
37.726,-122.473,1
37.726,-122.396,9
37.726,-122.402,6
37.726,-122.465,1
37.726,-122.418,1
37.726,-122.405,1
37.726,-122.461,8
37.726,-122.435,2
37.726,-122.417,1
37.726,-122.476,1
37.726,-122.404,4
37.726,-122.392,3
37.726,-122.387,3
37.726,-122.419,3
37.726,-122.431,3
37.726,-122.386,2
37.726,-122.41,1
37.726,-122.468,1
37.726,-122.452,1
37.726,-122.462,1
37.727,-122.458,8
37.727,-122.472,25
37.727,-122.475,6
37.727,-122.457,15
37.727,-122.397,10
37.727,-122.39,5
37.727,-122.394,22
37.727,-122.436,20
37.727,-122.414,3
37.727,-122.432,1
37.727,-122.416,5
37.727,-122.381,4
37.727,-122.392,4
37.727,-122.418,4
37.727,-122.403,15
37.727,-122.441,4
37.727,-122.393,8
37.727,-122.402,4
37.727,-122.429,5
37.727,-122.427,8
37.727,-122.421,7
37.727,-122.398,19
37.727,-122.391,14
37.727,-122.383,8
37.727,-122.423,6
37.727,-122.404,1
37.727,-122.425,4
37.727,-122.461,7
37.727,-122.464,8
37.727,-122.439,8
37.727,-122.466,5
37.727,-122.419,2
37.727,-122.38,10
37.727,-122.386,8
37.727,-122.431,2
37.727,-122.389,4
37.727,-122.44,4
37.727,-122.428,5
37.727,-122.456,1
37.727,-122.385,3
37.727,-122.395,12
37.727,-122.463,4
37.727,-122.447,10
37.727,-122.459,1
37.727,-122.387,2
37.727,-122.462,2
37.727,-122.465,4
37.727,-122.442,2
37.727,-122.446,5
37.727,-122.424,3
37.727,-122.433,9
37.727,-122.438,3
37.727,-122.42,6
37.727,-122.41,11
37.727,-122.467,1
37.727,-122.384,4
37.727,-122.406,2
37.727,-122.411,8
37.727,-122.409,1
37.727,-122.46,7
37.727,-122.399,3
37.727,-122.422,3
37.727,-122.444,3
37.727,-122.43,3
37.727,-122.401,5
37.727,-122.396,4
37.727,-122.408,4
37.727,-122.4,1
37.727,-122.437,5
37.727,-122.426,1
37.727,-122.369,1
37.727,-122.448,2
37.727,-122.415,4
37.727,-122.435,1
37.727,-122.371,5
37.727,-122.388,1
37.728,-122.383,6
37.728,-122.38,4
37.728,-122.386,6
37.728,-122.408,5
37.728,-122.437,2
37.728,-122.46,6
37.728,-122.434,3
37.728,-122.448,7
37.728,-122.427,13
37.728,-122.447,22
37.728,-122.439,5
37.728,-122.395,4
37.728,-122.446,20
37.728,-122.397,39
37.728,-122.457,11
37.728,-122.399,7
37.728,-122.381,6
37.728,-122.459,6
37.728,-122.456,6
37.728,-122.394,6
37.728,-122.371,8
37.728,-122.414,3
37.728,-122.385,13
37.728,-122.465,11
37.728,-122.458,10
37.728,-122.391,4
37.728,-122.472,33
37.728,-122.411,5
37.728,-122.436,4
37.728,-122.388,1
37.728,-122.433,4
37.728,-122.415,3
37.728,-122.396,7
37.728,-122.419,20
37.728,-122.393,11
37.728,-122.475,10
37.728,-122.428,12
37.728,-122.438,11
37.728,-122.441,4
37.728,-122.368,5
37.728,-122.461,5
37.728,-122.398,17
37.728,-122.435,18
37.728,-122.387,6
37.728,-122.413,3
37.728,-122.426,1
37.728,-122.37,16
37.728,-122.424,6
37.728,-122.423,11
37.728,-122.418,10
37.728,-122.432,3
37.728,-122.442,1
37.728,-122.404,14
37.728,-122.469,3
37.728,-122.464,6
37.728,-122.392,1
37.728,-122.479,4
37.728,-122.42,2
37.728,-122.425,7
37.728,-122.409,4
37.728,-122.421,1
37.728,-122.407,4
37.728,-122.384,2
37.728,-122.382,5
37.728,-122.412,6
37.728,-122.405,1
37.728,-122.389,4
37.728,-122.369,6
37.728,-122.463,2
37.728,-122.422,5
37.728,-122.443,1
37.728,-122.429,8
37.728,-122.462,2
37.728,-122.466,2
37.728,-122.445,9
37.728,-122.402,3
37.728,-122.44,3
37.728,-122.451,6
37.728,-122.417,6
37.728,-122.45,5
